21/2/2020 12:25:35
Time(ms)	Pressure(psig)	RPS	Current	Voltage
2437.00	124.29	16.27	5.73	3.30
2442.00	132.51	16.27	5.89	3.30
2446.00	99.01	16.27	5.53	3.29
2451.00	129.57	16.27	6.15	3.30
2456.00	105.51	16.27	5.43	3.30
2460.00	133.68	16.27	6.34	3.30
2465.00	123.82	16.27	5.43	3.29
2469.00	125.83	16.27	6.68	3.30
2474.00	127.79	16.27	5.45	3.30
2479.00	112.23	16.27	6.58	3.30
2483.00	132.13	16.27	5.42	3.30
2488.00	110.79	16.27	6.56	3.30
2493.00	133.58	16.27	5.43	3.30
2497.00	110.04	16.27	6.54	3.29
2502.00	129.80	16.27	5.55	3.29
2507.00	117.19	16.27	6.29	3.30
2511.00	125.45	16.27	5.44	3.30
2516.00	130.27	16.27	6.17	3.30
2521.00	115.36	16.27	5.36	3.30
2525.00	133.96	16.27	6.01	3.30
2530.00	107.14	16.27	5.59	3.30
2535.00	130.13	16.27	5.93	3.29
2539.00	113.50	16.27	5.71	3.30
2544.00	129.29	16.27	5.66	3.30
2548.00	122.23	16.27	5.91	3.30
2553.00	128.77	16.27	5.54	3.30
2558.00	128.82	16.27	5.93	3.30
2562.00	120.83	16.27	5.58	3.30
2567.00	132.09	16.27	6.19	3.29
2572.00	100.56	16.27	5.41	3.30
2576.00	130.64	16.27	6.35	3.30
2581.00	108.45	16.27	5.38	3.30
2586.00	134.38	16.27	6.58	3.30
2590.00	127.04	16.27	5.43	3.30
2595.00	129.14	16.27	6.70	3.30
2600.00	130.17	16.27	5.50	3.30
2604.00	106.53	16.27	6.42	3.30
2609.00	130.50	16.27	5.48	3.30
2614.00	107.89	16.27	6.37	3.30
2618.00	132.65	16.27	5.46	3.30
2623.00	114.66	16.27	6.31	3.30
2628.00	129.61	16.27	5.54	3.30
2632.00	128.86	16.27	6.06	3.30
2637.00	120.92	16.27	5.48	3.30
2641.00	131.53	16.27	5.89	3.30
2646.00	122.23	16.27	5.47	3.30
2651.00	134.70	16.27	5.79	3.30
2655.00	104.53	16.27	5.84	3.30
2660.00	129.99	16.27	5.68	3.30
2665.00	107.10	16.27	6.16	3.29
2669.00	129.52	16.27	5.51	3.30
2674.00	125.83	16.27	6.17	3.30
2679.00	130.69	16.27	5.44	3.30
2683.00	132.32	16.27	6.32	3.30
2688.00	116.11	16.27	5.50	3.29
2693.00	132.32	16.27	6.64	3.29
2697.00	99.67	16.27	5.39	3.30
2702.00	130.59	16.27	6.65	3.30
2707.00	113.45	16.27	5.37	3.30
2711.00	133.82	16.27	6.58	3.30
2716.00	121.48	16.27	5.45	3.30
2720.00	127.84	16.27	6.48	3.30
2725.00	131.76	16.27	5.49	3.30
2730.00	100.98	16.27	6.23	3.30
2734.00	131.71	16.27	5.47	3.30
2739.00	104.06	16.27	6.21	3.30
2744.00	133.30	16.27	5.39	3.30
2748.00	117.09	16.27	6.07	3.30
2753.00	130.64	16.27	5.48	3.30
2758.00	124.29	16.27	5.84	3.30
2762.00	118.26	16.27	5.58	3.30
2767.00	129.61	16.27	5.71	3.29
2772.00	105.83	16.27	5.67	3.30
2776.00	134.56	16.27	5.59	3.30
2781.00	105.93	16.27	6.08	3.30
2786.00	130.78	16.27	5.59	3.29
2790.00	112.23	16.27	6.45	3.30
2795.00	129.47	16.27	5.41	3.30
2800.00	128.91	16.27	6.43	3.30
2804.00	130.31	16.27	5.38	3.30
2809.00	133.49	16.27	6.59	3.30
2814.00	111.16	16.27	5.48	3.30
2818.00	131.53	16.27	6.75	3.30
2823.00	99.39	16.27	5.40	3.29
2827.00	130.31	16.27	6.51	3.30
2832.00	118.91	16.27	5.36	3.30
2837.00	132.51	16.27	6.33	3.30
2841.00	126.30	16.27	5.47	3.29
2846.00	124.57	16.27	6.23	3.29
2851.00	133.07	16.27	5.47	3.30
2855.00	111.16	16.27	5.93	3.30
2860.00	131.90	16.27	5.43	3.30
2865.00	106.16	16.27	5.86	3.30
2869.00	133.35	16.27	5.67	3.30
2874.00	112.09	16.27	5.73	3.30
2879.00	130.69	16.27	5.83	3.30
2883.00	128.96	16.27	5.55	3.30
2888.00	113.22	16.27	6.02	3.30
2893.00	131.95	16.27	5.46	3.29
2897.00	113.73	16.27	6.18	3.30
2902.00	134.33	16.27	5.45	3.30
2906.00	109.34	16.27	6.52	3.30
2911.00	130.55	16.27	5.52	3.30
2916.00	118.07	16.27	6.61	3.30
2920.00	125.31	16.27	5.42	3.30
2925.00	126.11	16.27	6.48	3.30
2930.00	126.11	16.27	5.37	3.30
2934.00	135.17	16.27	6.40	3.30
2939.00	106.53	16.27	5.54	3.30
2944.00	132.23	16.27	6.23	3.30
2948.00	103.69	16.27	5.36	3.30
2953.00	129.85	16.27	5.84	3.30
2957.00	123.96	16.27	5.66	3.30
2962.00	128.07	16.27	5.63	3.30
2967.00	129.61	16.27	5.93	3.30
2971.00	119.90	16.27	5.58	3.30
2976.00	133.54	16.27	6.18	3.30
2981.00	101.86	16.27	5.39	3.30
2985.00	131.29	16.27	6.33	3.30
2990.00	109.90	16.27	5.37	3.30
2994.00	134.00	16.27	6.59	3.29
2999.00	128.54	16.27	5.44	3.30
3004.00	129.66	16.27	6.69	3.30
3008.00	131.01	16.27	5.48	3.29
3013.00	105.13	16.27	6.34	3.30
3018.00	131.15	16.27	5.50	3.30
3022.00	106.82	16.27	6.17	3.30
3027.00	133.21	16.27	5.41	3.30
